==> Canonical JSON Lean fixture drift
==> Lean 4 proof build
✔ [368/609] Built Mathlib.Tactic.FunProp.FunctionData (3.0s)
✔ [369/610] Built Mathlib.Tactic.Linter.HaveLetLinter (2.0s)
✔ [370/610] Built Batteries.CodeAction.Match (3.1s)
✔ [371/610] Built Mathlib.Lean.Meta.RefinedDiscrTree.Encode (4.4s)
✔ [372/611] Built Mathlib.Tactic.Linter.PPRoundtrip (2.3s)
✔ [373/611] Built Mathlib.Tactic.Linter.DeprecatedModule (4.6s)
✔ [374/612] Built Mathlib.Tactic.Linter.MinImports (3.5s)
✔ [375/612] Built Aesop.Rule (2.7s)
✔ [376/613] Built Mathlib.Tactic.Linter.UpstreamableDecl (2.4s)
✔ [377/614] Built Mathlib.Lean.Meta.RefinedDiscrTree.Initialize (5.7s)
✔ [378/614] Built Mathlib.Tactic.NthRewrite (1.9s)
✔ [379/614] Built Batteries.CodeAction (1.6s)
✔ [380/614] Built Mathlib.Tactic.FunProp.Types (2.6s)
✔ [381/614] Built Mathlib.Tactic.Hint (3.7s)
✔ [382/614] Built Mathlib.Tactic.Observe (2.9s)
✔ [383/617] Built Mathlib.Tactic.RSuffices (2.5s)
✔ [384/618] Built Mathlib.Tactic.Linter (1.1s)
✔ [385/620] Built Aeneas.Tactic.Step.Init (22s)
✔ [386/620] Built Mathlib.Tactic.IrreducibleDef (6.3s)
✔ [387/620] Built Mathlib.Tactic.Recover (2.9s)
✔ [388/621] Built Mathlib.Tactic.Relation.Rfl (1.2s)
✔ [389/622] Built Aesop.Tree.UnsafeQueue (2.5s)
✔ [390/623] Built Mathlib.Util.Tactic (1.3s)
✔ [391/624] Built Mathlib.Tactic.Translate.Core (29s)
✔ [392/624] Built Mathlib.Lean.Meta.RefinedDiscrTree.Lookup (4.7s)
✔ [393/625] Built Aesop.RuleSet.Member (3.1s)
✔ [394/625] Built Mathlib.Tactic.Rename (2.5s)
✔ [395/625] Built Mathlib.Tactic.SuccessIfFailWithMsg (1.7s)
✔ [396/625] Built Mathlib.Tactic.SudoSetOption (1.8s)
✔ [397/626] Built Aesop.Forward.Match (5.0s)
✔ [398/626] Built Mathlib.Tactic.Set (2.6s)
✔ [399/626] Built Mathlib.Tactic.SwapVar (1.7s)
✔ [400/627] Built Mathlib.Tactic.RenameBVar (2.2s)
✔ [401/627] Built Mathlib.Tactic.ToLevel (1.6s)
✔ [402/627] Built Aeneas.Std.Core.Core (3.6s)
✔ [403/627] Built Mathlib.Tactic.SimpIntro (3.6s)
✔ [404/628] Built Mathlib.Tactic.Trace (1.7s)
✔ [405/628] Built Mathlib.Tactic.ToFun (3.4s)
✔ [406/637] Built Mathlib.Tactic.Says (5.1s)
✔ [410/637] Built Mathlib.Tactic.TypeCheck (1.0s)
✔ [411/640] Built Aesop.Builder.Basic (3.3s)
✔ [412/640] Built Mathlib.Tactic.Translate.TagUnfoldBoundary (4.3s)
✔ [415/640] Built Mathlib.Tactic.UnsetOption (1.7s)
